Sentence,Word Count,Reason
Yeah.,1,Too short
Okay.,1,Too short
So just.,2,Too short
It's very.,2,Too short
Right.,1,Too short
So about accuracy.,3,Too short
I don't know.,3,Too short
That's your question?,3,Too short
It's a deterrent.,3,Too short
Yeah.,1,Too short
It's either.,2,Too short
Someone who.,2,Too short
"Yeah, exactly.",2,Too short
Maybe if I.,3,Too short
Got it.,2,Too short
Keep.,1,Too short
Anytime.,1,Too short
Request for Proposal.,3,Too short
Okay.,1,Too short
So about accuracy.,3,Too short
I don't know.,3,Too short
That's your question?,3,Too short
It's a deterrent.,3,Too short
Yeah.,1,Too short
It's either.,2,Too short
Someone who.,2,Too short
"Yeah, exactly.",2,Too short
Maybe if I.,3,Too short
Got it.,2,Too short
