Sentence,Word Count,Reason
[Maya Newlin] Hello.,3,Too short
It's crazy.,2,Too short
Let's change this.,3,Too short
"Like, I.",2,Too short
Right.,1,Too short
Okay.,1,Too short
We do.,2,Too short
Yeah.,1,Too short
Not Architect.,2,Too short
Yeah.,1,Too short
They.,1,Too short
"Yeah, whatever.",2,Too short
"But yeah, great.",3,Too short
Let's change this.,3,Too short
"Like, I.",2,Too short
Right.,1,Too short
Okay.,1,Too short
We do.,2,Too short
Yeah.,1,Too short
Yeah.,1,Too short
They.,1,Too short
"Yeah, whatever.",2,Too short
"But yeah, great.",3,Too short
"All right, bye.",3,Too short
